Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,colony_diameter_control,increase
B30,EMM_F3,Dothideomycetes,1,2,0,7.42,8.01,0
B30,EMM_F3,Dothideomycetes,1,2,11.38,7.42,8,0
B30,EMM_F3,Dothideomycetes,1,2,17.4,8.06,7.69,0
B30,EMM_F3,Dothideomycetes,1,2,24.86,8.06,7.41,0
B30,EMM_F3,Dothideomycetes,1,2,31.78,8.22,6.92,0
B30,EMM_F3,Dothideomycetes,1,2,40.63,7.99,7.72,0
B30,EMM_F3,Dothideomycetes,1,2,47.75,8.11,6.82,0
B30,EMM_F3,Dothideomycetes,1,2,54.73,6.61,7.08,0
B30,EMM_F3,Dothideomycetes,2,2,0,7.05,7.71,0
B30,EMM_F3,Dothideomycetes,2,2,11.38,7.83,7.54,0
B30,EMM_F3,Dothideomycetes,2,2,17.4,8.12,7.54,0
B30,EMM_F3,Dothideomycetes,2,2,24.86,8.14,7.55,0
B30,EMM_F3,Dothideomycetes,2,2,31.78,7.84,7.7,0
B30,EMM_F3,Dothideomycetes,2,2,40.63,7.83,7.71,0
B30,EMM_F3,Dothideomycetes,2,2,47.75,7.69,7.71,0
B30,EMM_F3,Dothideomycetes,2,2,54.73,7.2,7.07,0
B30,EMM_F3,Dothideomycetes,3,2,0,7.29,7.61,0
B30,EMM_F3,Dothideomycetes,3,2,11.38,7.63,8.11,0
B30,EMM_F3,Dothideomycetes,3,2,17.4,7.63,8.17,0
B30,EMM_F3,Dothideomycetes,3,2,24.86,8.34,8.86,0
B30,EMM_F3,Dothideomycetes,3,2,31.78,8.08,7.38,0
B30,EMM_F3,Dothideomycetes,3,2,40.63,7.65,8.38,0
B30,EMM_F3,Dothideomycetes,3,2,47.75,7.08,8.38,0
B30,EMM_F3,Dothideomycetes,3,2,54.73,7.51,6.56,0
B30,EMM_F34,Dothideomycetes,1,2,0,7.82,8.01,0
B30,EMM_F34,Dothideomycetes,1,2,11.38,6.61,8,0
B30,EMM_F34,Dothideomycetes,1,2,17.4,8.18,7.69,0
B30,EMM_F34,Dothideomycetes,1,2,24.86,8.17,7.41,0
B30,EMM_F34,Dothideomycetes,1,2,31.78,7.93,6.92,0
B30,EMM_F34,Dothideomycetes,1,2,40.63,7.73,7.72,0
B30,EMM_F34,Dothideomycetes,1,2,47.75,7.43,6.82,0
B30,EMM_F34,Dothideomycetes,1,2,54.73,7.61,7.08,0
B30,EMM_F34,Dothideomycetes,2,2,0,7.68,7.71,0
B30,EMM_F34,Dothideomycetes,2,2,11.38,8.04,7.54,0
B30,EMM_F34,Dothideomycetes,2,2,17.4,8.08,7.54,0
B30,EMM_F34,Dothideomycetes,2,2,24.86,8.27,7.55,0
B30,EMM_F34,Dothideomycetes,2,2,31.78,8.29,7.7,0
B30,EMM_F34,Dothideomycetes,2,2,40.63,9.05,7.71,0
B30,EMM_F34,Dothideomycetes,2,2,47.75,8.46,7.71,0
B30,EMM_F34,Dothideomycetes,2,2,54.73,9.01,7.07,0
B30,EMM_F34,Dothideomycetes,3,2,0,9.74,7.61,0
B30,EMM_F34,Dothideomycetes,3,2,11.38,8.46,8.11,0
B30,EMM_F34,Dothideomycetes,3,2,17.4,7.78,8.17,0
B30,EMM_F34,Dothideomycetes,3,2,24.86,8.05,8.86,0
B30,EMM_F34,Dothideomycetes,3,2,31.78,8.32,7.38,0
B30,EMM_F34,Dothideomycetes,3,2,40.63,8.33,8.38,0
B30,EMM_F34,Dothideomycetes,3,2,47.75,8.34,8.38,0
B30,EMM_F34,Dothideomycetes,3,2,54.73,8.33,6.56,0
B30,SP_F14,Dothideomycetes,1,2,0,8.62,8.01,0
