Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
AL65,EMM_F3,Dothideomycetes,1,2,0,7.59,0
AL65,EMM_F3,Dothideomycetes,1,2,11.38,8.92,0
AL65,EMM_F3,Dothideomycetes,1,2,17.4,8.31,0
AL65,EMM_F3,Dothideomycetes,1,2,24.86,9.43,0
AL65,EMM_F3,Dothideomycetes,1,2,31.78,9.37,0
AL65,EMM_F3,Dothideomycetes,1,2,40.63,9.69,0
AL65,EMM_F3,Dothideomycetes,1,2,47.75,9.59,0
AL65,EMM_F3,Dothideomycetes,1,2,54.73,7.61,0
AL65,EMM_F3,Dothideomycetes,2,2,0,7.81,0
AL65,EMM_F3,Dothideomycetes,2,2,11.38,9.39,0
AL65,EMM_F3,Dothideomycetes,2,2,17.4,9.88,0
AL65,EMM_F3,Dothideomycetes,2,2,24.86,9.05,0
AL65,EMM_F3,Dothideomycetes,2,2,31.78,10.27,0
AL65,EMM_F3,Dothideomycetes,2,2,40.63,8.83,0
AL65,EMM_F3,Dothideomycetes,2,2,47.75,7.82,0
AL65,EMM_F3,Dothideomycetes,2,2,54.73,8.1,0
AL65,EMM_F3,Dothideomycetes,2,2,0,7.15,0
AL65,EMM_F3,Dothideomycetes,3,2,11.38,8.57,0
AL65,EMM_F3,Dothideomycetes,3,2,17.4,8.69,0
AL65,EMM_F3,Dothideomycetes,3,2,24.86,8.63,0
AL65,EMM_F3,Dothideomycetes,3,2,31.78,10.02,0
AL65,EMM_F3,Dothideomycetes,3,2,40.63,10.02,0
AL65,EMM_F3,Dothideomycetes,3,2,47.75,9.94,0
AL65,EMM_F3,Dothideomycetes,3,2,54.73,8.77,0
AL65,EMM_F34,Dothideomycetes,1,2,0,6.64,0
AL65,EMM_F34,Dothideomycetes,1,2,11.38,6.91,0
AL65,EMM_F34,Dothideomycetes,1,2,17.4,7.81,0
AL65,EMM_F34,Dothideomycetes,1,2,24.86,8.73,0
AL65,EMM_F34,Dothideomycetes,1,2,31.78,8.3,0
AL65,EMM_F34,Dothideomycetes,1,2,40.63,8.45,0
AL65,EMM_F34,Dothideomycetes,1,2,47.75,7.89,0
AL65,EMM_F34,Dothideomycetes,1,2,54.73,7.05,0
AL65,EMM_F34,Dothideomycetes,2,2,0,8.65,0
AL65,EMM_F34,Dothideomycetes,2,2,11.38,8.78,0
AL65,EMM_F34,Dothideomycetes,2,2,17.4,9.06,0
AL65,EMM_F34,Dothideomycetes,2,2,24.86,8.9,0
AL65,EMM_F34,Dothideomycetes,2,2,31.78,9.92,0
