Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B44,EMM_F3,Dothideomycetes,1,2,0,7.21,0
B44,EMM_F3,Dothideomycetes,1,2,11.38,6.62,0
B44,EMM_F3,Dothideomycetes,1,2,17.4,7.08,0
B44,EMM_F3,Dothideomycetes,1,2,24.86,7.4,0
B44,EMM_F3,Dothideomycetes,1,2,31.78,7.59,0
B44,EMM_F3,Dothideomycetes,1,2,40.63,7.73,0
B44,EMM_F3,Dothideomycetes,1,2,47.75,7.56,0
B44,EMM_F3,Dothideomycetes,1,2,54.73,7.65,0
B44,EMM_F3,Dothideomycetes,2,2,0,6.89,0
B44,EMM_F3,Dothideomycetes,2,2,11.38,6.98,0
B44,EMM_F3,Dothideomycetes,2,2,17.4,6.98,0
B44,EMM_F3,Dothideomycetes,2,2,24.86,7.07,0
B44,EMM_F3,Dothideomycetes,2,2,31.78,7.3,0
B44,EMM_F3,Dothideomycetes,2,2,40.63,7.51,0
B44,EMM_F3,Dothideomycetes,2,2,47.75,7.59,0
B44,EMM_F3,Dothideomycetes,2,2,54.73,7.88,0
B44,EMM_F3,Dothideomycetes,3,2,0,7.83,0
B44,EMM_F3,Dothideomycetes,3,2,11.38,7.38,0
B44,EMM_F3,Dothideomycetes,3,2,17.4,7.4,0
B44,EMM_F3,Dothideomycetes,3,2,24.86,7.42,0
B44,EMM_F3,Dothideomycetes,3,2,31.78,7.43,0
B44,EMM_F3,Dothideomycetes,3,2,40.63,8.05,0
B44,EMM_F3,Dothideomycetes,3,2,47.75,7.56,0
B44,EMM_F3,Dothideomycetes,3,2,54.73,8.56,0
B44,EMM_F34,Dothideomycetes,1,2,0,8.09,0
B44,EMM_F34,Dothideomycetes,1,2,11.38,8.23,0
B44,EMM_F34,Dothideomycetes,1,2,17.4,9.65,0
B44,EMM_F34,Dothideomycetes,1,2,24.86,9.4,0
B44,EMM_F34,Dothideomycetes,1,2,31.78,8.69,0
B44,EMM_F34,Dothideomycetes,1,2,40.63,8.92,0
B44,EMM_F34,Dothideomycetes,1,2,47.75,8.14,0
B44,EMM_F34,Dothideomycetes,1,2,54.73,7.88,0
B44,EMM_F34,Dothideomycetes,2,2,0,7.89,0
B44,EMM_F34,Dothideomycetes,2,2,11.38,8.41,0
B44,EMM_F34,Dothideomycetes,2,2,17.4,9.5,0
B44,EMM_F34,Dothideomycetes,2,2,24.86,8.98,0
B44,EMM_F34,Dothideomycetes,2,2,31.78,8.15,0
B44,EMM_F34,Dothideomycetes,2,2,40.63,7.6,0
B44,EMM_F34,Dothideomycetes,2,2,47.75,8.06,0
B44,EMM_F34,Dothideomycetes,2,2,54.73,8.15,0
B44,EMM_F34,Dothideomycetes,3,2,0,8.15,0
B44,EMM_F34,Dothideomycetes,3,2,11.38,7.92,0
B44,EMM_F34,Dothideomycetes,3,2,17.4,7.93,0
B44,EMM_F34,Dothideomycetes,3,2,24.86,8.14,0
B44,EMM_F34,Dothideomycetes,3,2,31.78,8.14,0
B44,EMM_F34,Dothideomycetes,3,2,40.63,7.81,0
B44,EMM_F34,Dothideomycetes,3,2,47.75,8.02,0
B44,EMM_F34,Dothideomycetes,3,2,54.73,8.34,0
B44,SP_F14,Dothideomycetes,1,2,0,3.08,0
B44,SP_F14,Dothideomycetes,1,2,11.38,8.11,0
B44,SP_F14,Dothideomycetes,1,2,17.4,8.12,0
B44,SP_F14,Dothideomycetes,1,2,24.86,8.13,0
B44,SP_F14,Dothideomycetes,1,2,31.78,8.52,0
B44,SP_F14,Dothideomycetes,1,2,40.63,8.53,0
B44,SP_F14,Dothideomycetes,1,2,47.75,8.69,0
B44,SP_F14,Dothideomycetes,1,2,54.73,8.84,0
B44,SP_F14,Dothideomycetes,2,2,0,5.72,0
B44,SP_F14,Dothideomycetes,2,2,11.38,8.52,0
B44,SP_F14,Dothideomycetes,2,2,17.4,8.52,0
B44,SP_F14,Dothideomycetes,2,2,24.86,8.52,0
B44,SP_F14,Dothideomycetes,2,2,31.78,8.53,0
B44,SP_F14,Dothideomycetes,2,2,40.63,8.32,0
B44,SP_F14,Dothideomycetes,2,2,47.75,7.9,0
B44,SP_F14,Dothideomycetes,2,2,54.73,8.1,0
B44,SP_F14,Dothideomycetes,3,2,0,6.32,0
B44,SP_F14,Dothideomycetes,3,2,11.38,7.38,0
B44,SP_F14,Dothideomycetes,3,2,17.4,7.39,0
B44,SP_F14,Dothideomycetes,3,2,24.86,7.1,0
B44,SP_F14,Dothideomycetes,3,2,31.78,7.74,0
B44,SP_F14,Dothideomycetes,3,2,40.63,7.78,0
B44,SP_F14,Dothideomycetes,3,2,47.75,7.21,0
B44,SP_F14,Dothideomycetes,3,2,54.73,7,0
B44,EMM_F7,Tremellomycetes,1,2,0,6.58,0
B44,EMM_F7,Tremellomycetes,1,2,11.38,7.2,0
B44,EMM_F7,Tremellomycetes,1,2,17.4,7.74,0
B44,EMM_F7,Tremellomycetes,1,2,24.86,7.93,0
B44,EMM_F7,Tremellomycetes,1,2,31.78,7.93,0
B44,EMM_F7,Tremellomycetes,1,2,40.63,8.84,0
