Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,colony_diameter_control,increase
B52,EMM_F3,Dothideomycetes,1,2,0,6.21,6.34,0
B52,EMM_F3,Dothideomycetes,1,2,11.38,5.75,5.63,0
B52,EMM_F3,Dothideomycetes,1,2,17.4,5.75,5.67,0
B52,EMM_F3,Dothideomycetes,1,2,24.86,6.15,8.45,0
B52,EMM_F3,Dothideomycetes,1,2,31.78,5.39,7.26,0
B52,EMM_F3,Dothideomycetes,1,2,40.63,6.14,6.88,0
B52,EMM_F3,Dothideomycetes,1,2,47.75,6.39,7.6,0
B52,EMM_F3,Dothideomycetes,1,2,54.73,6.39,6.69,0
B52,EMM_F3,Dothideomycetes,2,2,0,6.33,7.01,0
B52,EMM_F3,Dothideomycetes,2,2,11.38,6.33,7.02,0
B52,EMM_F3,Dothideomycetes,2,2,17.4,6,7.26,0
B52,EMM_F3,Dothideomycetes,2,2,24.86,7.4,7.25,0
B52,EMM_F3,Dothideomycetes,2,2,31.78,5.17,7.44,0
B52,EMM_F3,Dothideomycetes,2,2,40.63,5.85,7.04,0
B52,EMM_F3,Dothideomycetes,2,2,47.75,6.26,7.04,0
B52,EMM_F3,Dothideomycetes,2,2,54.73,7.1,6.47,0
B52,EMM_F3,Dothideomycetes,2,2,0,7.3,6.4,0
B52,EMM_F3,Dothideomycetes,3,2,11.38,6.1,6.21,0
B52,EMM_F3,Dothideomycetes,3,2,17.4,6.78,5.71,0
B52,EMM_F3,Dothideomycetes,3,2,24.86,6.78,6.41,0
B52,EMM_F3,Dothideomycetes,3,2,31.78,6.16,6.2,0
B52,EMM_F3,Dothideomycetes,3,2,40.63,6.16,6.7,0
B52,EMM_F3,Dothideomycetes,3,2,47.75,5.44,6.22,0
B52,EMM_F3,Dothideomycetes,3,2,54.73,6.54,7.02,0
B52,EMM_F34,Dothideomycetes,1,2,0,5.98,6.34,0
B52,EMM_F34,Dothideomycetes,1,2,11.38,5.98,5.63,0
B52,EMM_F34,Dothideomycetes,1,2,17.4,5.69,5.67,0
B52,EMM_F34,Dothideomycetes,1,2,24.86,6.13,8.45,0
B52,EMM_F34,Dothideomycetes,1,2,31.78,6.44,7.26,0
B52,EMM_F34,Dothideomycetes,1,2,40.63,5.81,6.88,0
B52,EMM_F34,Dothideomycetes,1,2,47.75,6.08,7.6,0
B52,EMM_F34,Dothideomycetes,1,2,54.73,6.45,6.69,0
B52,EMM_F34,Dothideomycetes,2,2,0,6.69,7.01,0
B52,EMM_F34,Dothideomycetes,2,2,11.38,5.74,7.02,0
B52,EMM_F34,Dothideomycetes,2,2,17.4,5.74,7.26,0
B52,EMM_F34,Dothideomycetes,2,2,24.86,6.63,7.25,0
B52,EMM_F34,Dothideomycetes,2,2,31.78,5.8,7.44,0
