Bacteria,Yeast,Media,Class,Replication,DAI,colony_diameter,increase,colony_weight,CFU
B52,EMM_F49,YePDA,Microbotryomycetes,1,2,6.85,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,1,2,6.85,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,2,2,7.68,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,2,2,7.69,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,3,2,8.74,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,3,2,8.01,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,4,2,7.88,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,4,2,7.25,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,5,2,7.81,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,5,2,7.8,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,6,2,7.77,0,na,na
B52,EMM_F49,YePDA,Microbotryomycetes,6,2,7.14,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,1,2,7.05,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,1,2,8.02,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,2,2,8.3,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,2,2,8.36,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,3,2,7.51,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,3,2,8.08,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,4,2,7.69,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,4,2,8.21,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,5,2,7.94,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,5,2,8.06,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,6,2,7.53,0,na,na
B52,EMM_F48,YePDA,Tremellomycetes,6,2,7.53,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,1,2,7.86,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,1,2,7.8,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,2,2,6.81,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,2,2,7.65,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,3,2,7.33,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,3,2,7.52,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,4,2,7.69,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,4,2,8.65,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,5,2,6.72,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,5,2,6.98,0,na,na
B52,SP_F14,YePDA,Dothideomycetes,6,2,6.83,0,na,na
