Bacteria,Yeast,Replication,DAI,Colony_diameter,increase,colony_weight,CFU
B52,EMM_F48,1,2,7.46,0,na,na
B52,EMM_F48,1,2,7.83,0,na,na
B52,EMM_F48,2,2,7.83,0,na,na
B52,EMM_F48,2,2,7.83,0,na,na
B52,EMM_F48,3,2,7.55,0,na,na
B52,EMM_F48,3,2,7.65,0,na,na
B52,EMM_F48,4,2,7.65,0,na,na
B52,EMM_F48,4,2,7.8,0,na,na
B52,EMM_F48,5,2,7.6,0,na,na
B52,EMM_F48,5,2,7.73,0,na,na
B52,EMM_F48,6,2,7.75,0,na,na
B52,EMM_F48,6,2,8.01,0,na,na
B52,EMM_F49,1,2,8.28,0,na,na
B52,EMM_F49,1,2,7.55,0,na,na
B52,EMM_F49,2,2,8.03,0,na,na
B52,EMM_F49,2,2,8.22,0,na,na
B52,EMM_F49,3,2,8.01,0,na,na
B52,EMM_F49,3,2,7.88,0,na,na
B52,EMM_F49,4,2,7.68,0,na,na
B52,EMM_F49,4,2,7.99,0,na,na
B52,EMM_F49,5,2,7.89,0,na,na
B52,EMM_F49,5,2,8.08,0,na,na
B52,EMM_F49,6,2,7.56,0,na,na
B52,EMM_F49,6,2,7.65,0,na,na
B52,SP_F14,1,2,8.09,0,na,na
B52,SP_F14,1,2,7.92,0,na,na
B52,SP_F14,2,2,7.45,0,na,na
B52,SP_F14,2,2,8.1,0,na,na
B52,SP_F14,3,2,7.27,0,na,na
B52,SP_F14,3,2,7.68,0,na,na
B52,SP_F14,4,2,6.92,0,na,na
B52,SP_F14,4,2,8.12,0,na,na
B52,SP_F14,5,2,7.66,0,na,na
B52,SP_F14,5,2,7.47,0,na,na
B52,SP_F14,6,2,7.69,0,na,na
B52,SP_F14,6,2,7.7,0,na,na
B52,Control,1,2,7.86,0,na,na
B52,Control,1,2,8.12,0,na,na
B52,Control,2,2,8.18,0,na,na
B52,Control,2,2,8.18,0,na,na
B52,Control,3,2,7.82,0,na,na
B52,Control,3,2,7.58,0,na,na
B52,Control,4,2,8.28,0,na,na
B52,Control,4,2,8.31,0,na,na
B52,Control,5,2,9.14,0,na,na
B52,Control,5,2,8.61,0,na,na
B52,Control,6,2,8.49,0,na,na
B52,Control,6,2,8.01,0,na,na
B52,EMM_F48,1,4,8.55,1.09,na,na
B52,EMM_F48,1,4,9.03,1.2,na,na
B52,EMM_F48,2,4,9.14,1.31,na,na
B52,EMM_F48,2,4,8.87,1.04,na,na
B52,EMM_F48,3,4,9.04,1.49,na,na
B52,EMM_F48,3,4,9.03,1.38,na,na
B52,EMM_F48,4,4,8.83,1.18,na,na
B52,EMM_F48,4,4,8.82,1.02,na,na
B52,EMM_F48,5,4,8.1,0.5,na,na
B52,EMM_F48,5,4,8.35,0.62,na,na
B52,EMM_F48,6,4,8.99,1.24,na,na
B52,EMM_F48,6,4,9.62,1.61,na,na
B52,EMM_F49,1,4,9.16,0.88,na,na
B52,EMM_F49,1,4,8.13,0.58,na,na
B52,EMM_F49,2,4,8.37,0.34,na,na
B52,EMM_F49,2,4,8.56,0.34,na,na
B52,EMM_F49,3,4,8.72,0.71,na,na
B52,EMM_F49,3,4,8.58,0.7,na,na
B52,EMM_F49,4,4,7.63,-0.05,na,na
B52,EMM_F49,4,4,7.91,-0.08,na,na
B52,EMM_F49,5,4,9.04,1.15,na,na
B52,EMM_F49,5,4,8.79,0.71,na,na
B52,EMM_F49,6,4,8.88,1.32,na,na
B52,EMM_F49,6,4,8.8,1.15,na,na
B52,SP_F14,1,4,9.34,1.25,na,na
B52,SP_F14,1,4,9.25,1.33,na,na
B52,SP_F14,2,4,7.63,0.18,na,na
B52,SP_F14,2,4,8.73,0.63,na,na
B52,SP_F14,3,4,8.99,1.72,na,na
B52,SP_F14,3,4,8.91,1.23,na,na
B52,SP_F14,4,4,8.88,1.96,na,na
B52,SP_F14,4,4,10.02,1.9,na,na
B52,SP_F14,5,4,8.27,0.61,na,na
B52,SP_F14,5,4,7.98,0.51,na,na
B52,SP_F14,6,4,9.29,1.6,na,na
B52,SP_F14,6,4,9.04,1.34,na,na
B52,Control,1,4,9.99,2.13,na,na
B52,Control,1,4,9.99,1.87,na,na
B52,Control,2,4,10.57,2.39,na,na
B52,Control,2,4,10.33,2.15,na,na
B52,Control,3,4,10.02,2.2,na,na
B52,Control,3,4,9.53,1.95,na,na
B52,Control,4,4,10.22,1.94,na,na
B52,Control,4,4,10.28,1.97,na,na
B52,Control,5,4,11.83,2.69,na,na
B52,Control,5,4,11.56,2.95,na,na
B52,Control,6,4,10.88,2.39,na,na
